#chrom	subgenome	bootstrap
scaf_3	SG1	92
scaf_7	SG1	87
scaf_1	SG1	87
scaf_66	SG1	89
scaf_34	SG1	87
scaf_5	SG1	87
scaf_2	SG1	86
alt-scaf_37	SG1	77
scaf_13	SG1	86
scaf_4	SG1	86
scaf_40	SG1	87
alt-scaf_22	SG1	90
scaf_6	SG1	87
alt-scaf_17	SG1	87
scaf_12	SG1	87
scaf_65	SG1	87
alt-scaf_16	SG1	100
scaf_14	SG1	86
scaf_18	SG2	86
scaf_39	SG2	87
scaf_50	SG2	44
scaf_70	SG2	76
scaf_113	SG2	86
scaf_35	SG2	86
scaf_45	SG2	68
alt-scaf_46	SG2	66
scaf_8	SG2	86
scaf_9	SG2	25
alt-scaf_41	SG2	86
scaf_15	SG2	86
scaf_44	SG2	59
scaf_52	SG2	86
scaf_81	SG2	86
scaf_129	SG2	86
scaf_42	SG2	86
alt-scaf_38	SG2	86
scaf_10	SG2	86
scaf_26	SG2	76
alt-scaf_43	SG2	86
scaf_25	SG2	86
