#chrom	subgenome	bootstrap
scaf_18	SG1	100
scaf_3	SG1	100
scaf_39	SG1	100
scaf_7	SG1	100
scaf_1	SG1	100
scaf_50	SG1	100
scaf_66	SG1	100
scaf_70	SG1	100
scaf_113	SG1	100
scaf_35	SG1	100
scaf_45	SG1	100
alt-scaf_46	SG1	100
scaf_5	SG1	100
scaf_8	SG1	100
scaf_9	SG1	100
alt-scaf_41	SG1	100
scaf_15	SG1	100
scaf_2	SG1	100
scaf_44	SG1	100
alt-scaf_37	SG1	100
scaf_13	SG1	100
scaf_52	SG1	100
scaf_81	SG1	100
scaf_129	SG1	100
scaf_40	SG1	100
scaf_42	SG1	100
alt-scaf_22	SG1	100
alt-scaf_38	SG1	100
scaf_10	SG1	100
scaf_6	SG1	100
alt-scaf_17	SG1	100
scaf_12	SG1	100
scaf_26	SG1	100
scaf_65	SG1	100
alt-scaf_16	SG1	100
alt-scaf_43	SG1	100
scaf_14	SG1	100
scaf_25	SG1	100
scaf_34	SG2	100
scaf_4	SG2	100
