#chrom	subgenome	bootstrap
scaf_3	SG1	75
scaf_7	SG1	99
scaf_1	SG1	99
scaf_50	SG1	99
scaf_66	SG1	85
scaf_34	SG1	99
scaf_45	SG1	82
scaf_5	SG1	99
scaf_9	SG1	98
scaf_2	SG1	99
scaf_44	SG1	97
alt-scaf_37	SG1	92
scaf_13	SG1	99
scaf_4	SG1	100
scaf_40	SG1	99
alt-scaf_22	SG1	88
scaf_6	SG1	99
alt-scaf_17	SG1	99
scaf_12	SG1	99
scaf_26	SG1	81
scaf_65	SG1	97
alt-scaf_16	SG1	100
scaf_14	SG1	99
scaf_18	SG2	99
scaf_39	SG2	99
scaf_70	SG2	82
scaf_113	SG2	99
scaf_35	SG2	99
alt-scaf_46	SG2	76
scaf_8	SG2	99
alt-scaf_41	SG2	99
scaf_15	SG2	99
scaf_52	SG2	99
scaf_81	SG2	99
scaf_129	SG2	83
scaf_42	SG2	99
alt-scaf_38	SG2	99
scaf_10	SG2	99
alt-scaf_43	SG2	99
scaf_25	SG2	99
