#chrom	subgenome	bootstrap
scaf_18	SG1	28
scaf_3	SG1	84
scaf_39	SG1	28
scaf_70	SG1	36
scaf_113	SG1	28
scaf_35	SG1	28
scaf_45	SG1	63
alt-scaf_46	SG1	60
scaf_8	SG1	28
alt-scaf_41	SG1	28
scaf_15	SG1	28
scaf_52	SG1	28
scaf_81	SG1	28
scaf_129	SG1	28
scaf_42	SG1	28
alt-scaf_38	SG1	28
scaf_10	SG1	28
scaf_26	SG1	58
alt-scaf_16	SG1	100
alt-scaf_43	SG1	28
scaf_25	SG1	28
scaf_7	SG2	28
scaf_1	SG2	27
scaf_50	SG2	32
scaf_66	SG2	26
scaf_34	SG2	28
scaf_5	SG2	27
scaf_9	SG2	18
scaf_2	SG2	27
scaf_44	SG2	24
alt-scaf_37	SG2	26
scaf_13	SG2	27
scaf_4	SG2	27
scaf_40	SG2	27
alt-scaf_22	SG2	26
scaf_6	SG2	27
alt-scaf_17	SG2	26
scaf_12	SG2	27
scaf_65	SG2	28
scaf_14	SG2	28
