#chrom	subgenome	bootstrap
scaf_3	SG1	89
scaf_7	SG1	97
scaf_1	SG1	97
scaf_50	SG1	93
scaf_66	SG1	92
scaf_34	SG1	92
scaf_5	SG1	92
scaf_9	SG1	96
scaf_2	SG1	96
scaf_44	SG1	94
alt-scaf_37	SG1	92
scaf_13	SG1	97
scaf_4	SG1	92
scaf_40	SG1	92
alt-scaf_22	SG1	86
scaf_6	SG1	92
alt-scaf_17	SG1	96
scaf_12	SG1	95
scaf_26	SG1	93
scaf_65	SG1	92
alt-scaf_16	SG1	100
scaf_14	SG1	92
scaf_18	SG2	92
scaf_39	SG2	92
scaf_70	SG2	92
scaf_113	SG2	92
scaf_35	SG2	92
scaf_45	SG2	92
alt-scaf_46	SG2	89
scaf_8	SG2	92
alt-scaf_41	SG2	92
scaf_15	SG2	92
scaf_52	SG2	92
scaf_81	SG2	92
scaf_129	SG2	90
scaf_42	SG2	92
alt-scaf_38	SG2	92
scaf_10	SG2	92
alt-scaf_43	SG2	92
scaf_25	SG2	92
