#chrom	subgenome	bootstrap
scaf_3	SG1	100
scaf_7	SG1	100
scaf_1	SG1	100
scaf_50	SG1	100
scaf_66	SG1	100
scaf_70	SG1	100
scaf_34	SG1	98
scaf_45	SG1	100
alt-scaf_46	SG1	100
scaf_5	SG1	100
scaf_9	SG1	100
scaf_2	SG1	100
scaf_44	SG1	100
alt-scaf_37	SG1	100
scaf_13	SG1	100
scaf_129	SG1	100
scaf_4	SG1	98
scaf_40	SG1	100
alt-scaf_22	SG1	100
scaf_6	SG1	100
alt-scaf_17	SG1	100
scaf_12	SG1	100
scaf_26	SG1	99
scaf_65	SG1	100
alt-scaf_16	SG1	100
scaf_14	SG1	100
scaf_18	SG2	98
scaf_39	SG2	98
scaf_113	SG2	79
scaf_35	SG2	98
scaf_8	SG2	98
alt-scaf_41	SG2	98
scaf_15	SG2	98
scaf_52	SG2	98
scaf_81	SG2	98
scaf_42	SG2	98
alt-scaf_38	SG2	98
scaf_10	SG2	98
alt-scaf_43	SG2	98
scaf_25	SG2	98
